transponder_id,loop,utcTimestamp,utcTime,lapTime,lapSpeed,maxSpeed,cameraPreset,cameraPan,cameraTilt,cameraZoom,eventName,recSegmentId,trackedRider
GR11874,L07,1739548871.228,2025-02-14 16:01:11.228000,0.0,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L06,1739548872.685,2025-02-14 16:01:12.685000,1.457,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L07,1739548882.079,2025-02-14 16:01:22.079000,10.851,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L01,1739548884.217,2025-02-14 16:01:24.217000,12.989,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L02,1739548888.066,2025-02-14 16:01:28.066000,16.838,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L03,1739548889.711,2025-02-14 16:01:29.711000,18.483,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L04,1739548896.002,2025-02-14 16:01:36.002000,24.774,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L05,1739548900.847,2025-02-14 16:01:40.847000,29.619,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L06,1739548901.95,2025-02-14 16:01:41.950000,29.265,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
SC98900,L07,1739548906.151,2025-02-14 16:01:46.151000,0.0,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
SC98900,L05,1739548910.435,2025-02-14 16:01:50.435000,4.284,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L07,1739548910.441,2025-02-14 16:01:50.441000,28.362,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
SC98900,L06,1739548911.39,2025-02-14 16:01:51.390000,5.239,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L01,1739548912.444,2025-02-14 16:01:52.444000,28.227,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L02,1739548916.075,2025-02-14 16:01:56.075000,28.009,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
GR11874,L03,1739548917.668,2025-02-14 16:01:57.668000,27.957,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
SC98900,L07,1739548918.544,2025-02-14 16:01:58.544000,12.393,,,,,,,17:00 - 20:00 Vlaamse Wielerschool,,
